,rk,player,tm,fantpos,age,games,games_started,passes_completed,pass_attempts,passing_yds,passing_td,passes_intercepted,rushing_att,rushing_yds,yds_rushing_att,rushing_td,targets,receptions,receiving_yds,yds_reception,receiving_td,fumbles,fumbles_lost,touchdowns,2_pt_conv_made,2_pt_conv_passes,fantasy_points,fantasy_points_ppr_,draftkings_points,fanduel_points,vbd,posrank,ovrank
0,1,Jonathan Taylor,IND,RB,26,7,7,0,0,0,0,0,131,697,5.32,10,25,23,185,8.04,1,0,0,11,1,,156,179.2,185.2,167.7,92,1,1
1,2,Christian McCaffrey,SFO,RB,29,7,7,0,0,0,0,0,132,465,3.52,3,68,53,516,9.74,3,1,0,6,,,134,187.1,193.1,160.6,71,2,2
2,3,Patrick Mahomes,KAN,QB,30,7,7,164,248,1800,14,2,42,250,5.95,4,0,0,0,,0,3,0,4,,,173,173.0,181.0,175.0,57,1,3
3,4,Bijan Robinson,ATL,RB,23,6,6,0,0,0,0,0,97,524,5.40,2,39,30,390,13.00,2,1,0,4,,,115,145.4,151.4,130.4,54,3,4
4,5,Jahmyr Gibbs,DET,RB,23,7,7,0,0,0,0,0,104,526,5.06,6,28,26,194,7.46,1,0,0,7,,,114,140.0,146.0,127.0,52,4,5
5,6,Jaxon Smith-Njigba,SEA,WR,23,7,7,0,0,0,0,0,3,11,3.67,0,70,50,819,16.38,4,2,1,4,,,105,155.0,159.0,130.0,51,1,6
6,7,Javonte Williams,DAL,RB,25,7,7,0,0,0,0,0,111,592,5.33,6,32,23,85,3.70,1,1,1,7,,,108,130.7,134.7,119.2,46,5,7
7,8,Josh Jacobs,GNB,RB,27,6,6,0,0,0,0,0,111,414,3.73,8,20,16,179,11.19,0,1,0,8,,,107,123.3,129.3,115.3,46,6,8
8,9,Justin Herbert,LAC,QB,27,8,8,201,296,2140,16,7,37,248,6.70,0,0,0,0,,0,2,1,0,1,,160,160.4,174.4,167.4,45,2,9
9,10,De'Von Achane,MIA,RB,24,7,7,0,0,0,0,0,89,472,5.30,3,43,32,211,6.59,3,1,0,6,,,104,136.3,142.3,120.3,43,7,10
10,11,Amon-Ra St. Brown,DET,WR,26,7,7,0,0,0,0,0,3,9,3.00,0,61,50,538,10.76,7,1,0,7,,,97,146.7,149.7,121.7,43,3,11
11,12,George Pickens,DAL,WR,24,7,7,0,0,0,0,0,0,0,,0,54,36,607,16.86,6,0,0,6,,,97,132.7,135.7,114.7,43,2,12
12,13,Ja'Marr Chase,CIN,WR,25,7,7,0,0,0,0,0,2,6,3.00,0,80,58,629,10.84,5,1,1,5,,,92,149.5,153.5,120.5,38,4,13
13,14,Jalen Hurts,PHI,QB,27,7,7,136,195,1498,11,1,54,185,3.43,5,0,0,0,,0,3,1,5,,,148,148.4,156.4,149.4,34,3,14
14,15,Cam Skattebo,NYG,RB,23,7,4,0,0,0,0,0,98,398,4.06,5,30,23,189,8.22,1,1,1,6,1,,95,117.7,124.7,106.2,34,8,15
15,16,Dak Prescott,DAL,QB,32,7,7,185,259,1881,16,3,19,56,2.95,1,0,0,0,,0,3,0,1,,1,147,146.8,152.8,149.8,33,4,16
16,17,Emeka Egbuka,TAM,WR,23,7,6,0,0,0,0,0,2,9,4.50,0,54,31,527,17.00,5,0,0,5,1,,86,116.6,119.6,101.1,33,5,17
17,18,Drake Maye,NWE,QB,23,7,7,152,202,1744,12,2,44,200,4.55,2,1,1,2,2.00,0,3,1,2,1,,146,147.0,156.0,148.5,32,5,18
18,19,James Cook,BUF,RB,26,6,6,0,0,0,0,0,107,537,5.02,5,14,12,89,7.42,0,1,0,5,,,93,104.6,107.6,98.6,32,9,19
19,20,Puka Nacua,LAR,WR,24,6,6,0,0,0,0,0,3,52,17.33,1,65,54,616,11.41,2,0,0,3,,,85,138.8,141.8,111.8,32,6,20
20,21,Kyren Williams,LAR,RB,25,7,7,0,0,0,0,0,107,472,4.41,2,26,20,166,8.30,3,2,2,5,,,90,109.8,117.8,99.8,30,10,21
21,22,Davante Adams,LAR,WR,33,7,7,0,0,0,0,0,0,0,,0,63,31,431,13.90,6,0,0,6,,,79,110.1,113.1,94.6,27,7,22
22,23,Daniel Jones,IND,QB,28,7,7,152,214,1790,10,3,29,83,2.86,4,0,0,0,,0,2,0,4,,1,140,139.9,145.9,142.9,26,6,23
23,24,Rico Dowdle,CAR,RB,27,7,2,0,0,0,0,0,98,551,5.62,2,17,13,121,9.31,1,1,0,3,,,85,98.2,104.2,91.7,25,11,24
24,25,Bo Nix,DEN,QB,25,7,7,160,256,1556,11,4,38,172,4.53,3,0,0,0,,0,2,1,3,,3,137,137.4,148.4,141.4,24,7,25
25,26,Baker Mayfield,TAM,QB,30,7,7,157,245,1767,13,2,22,158,7.18,0,0,0,0,,0,5,0,0,,1,136,136.5,144.5,138.5,23,8,26
